osmid,y,x,street_count,highway,ref,geometry
90537610,38.483266,-121.456895,4,,,POINT (-121.456895 38.483266)
90537612,38.4826,-121.457052,3,,,POINT (-121.457052 38.4826)
90537657,38.649192,-121.463369,1,turning_circle,,POINT (-121.463369 38.649192)
90537763,38.6431029,-121.5193391,4,traffic_signals,,POINT (-121.5193391 38.6431029)
90537771,38.488389,-121.467631,1,turning_circle,,POINT (-121.467631 38.488389)
90537778,38.488433,-121.466629,3,,,POINT (-121.466629 38.488433)
90537780,38.4884445,-121.4646021,3,,,POINT (-121.4646021 38.4884445)
90537788,38.503464,-121.475108,3,,,POINT (-121.475108 38.503464)
90537792,38.503701,-121.473782,1,,,POINT (-121.473782 38.503701)
90537863,38.480196,-121.489757,3,,,POINT (-121.489757 38.480196)
90537879,38.557658,-121.394841,1,turning_circle,,POINT (-121.394841 38.557658)
90537889,38.558158,-121.395244,4,,,POINT (-121.395244 38.558158)
90537894,38.558461,-121.395603,1,turning_circle,,POINT (-121.395603 38.558461)
90537895,38.557802,-121.4005,4,,,POINT (-121.4005 38.557802)
90537902,38.556672,-121.400117,3,,,POINT (-121.400117 38.556672)
90537911,38.556943,-121.399127,4,,,POINT (-121.399127 38.556943)
90537918,38.557466,-121.398051,3,,,POINT (-121.398051 38.557466)
90537921,38.557673,-121.397124,4,,,POINT (-121.397124 38.557673)
90537923,38.557917,-121.396029,3,,,POINT (-121.396029 38.557917)
90537942,38.558668,-121.394664,4,,,POINT (-121.394664 38.558668)
90537952,38.5587068,-121.3936321,3,,,POINT (-121.3936321 38.5587068)
90537953,38.558645,-121.392914,3,,,POINT (-121.392914 38.558645)
90537962,38.558708,-121.392235,3,,,POINT (-121.392235 38.558708)
90537981,38.556788,-121.398879,1,turning_circle,,POINT (-121.398879 38.556788)
90537987,38.557143,-121.399501,1,turning_circle,,POINT (-121.399501 38.557143)
90537993,38.557465,-121.395865,1,turning_circle,,POINT (-121.395865 38.557465)
90537997,38.556999,-121.397887,1,turning_circle,,POINT (-121.397887 38.556999)
90538010,38.557238,-121.396878,1,turning_circle,,POINT (-121.396878 38.557238)
90538015,38.556466,-121.400282,1,turning_circle,,POINT (-121.400282 38.556466)
90538044,38.530863,-121.501113,1,,,POINT (-121.501113 38.530863)
90538049,38.634732,-121.461076,3,,,POINT (-121.461076 38.634732)
90538051,38.6359,-121.461064,3,,,POINT (-121.461064 38.6359)
90538150,38.620671,-121.479548,3,,,POINT (-121.479548 38.620671)
90538179,38.618801,-121.480554,3,,,POINT (-121.480554 38.618801)
